UID        PID  PPID  C STIME TTY          TIME CMD
jeisoncg  1528     1  0 Sep25 ?        00:00:00 /usr/bin/dbus-launch --sh-syntax --exit-with-session /usr/bin/gpg-agent --sh --daemon --keep-display --write-env-file /home/jeisoncg/.gnupg/agent.info-Isometric:0 /etc/X11/xinit/xinitrc
jeisoncg  1529     1  0 Sep25 ?        00:00:25 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
jeisoncg  1530  1444  0 Sep25 ?        00:00:01 /usr/bin/gpg-agent --sh --daemon --keep-display --write-env-file /home/jeisoncg/.gnupg/agent.info-Isometric:0 /etc/X11/xinit/xinitrc
root      1570     1  0 Sep25 ?        00:00:00 /usr/lib64/kde4/libexec/start_kdeinit +kcminit_startup
jeisoncg  1571     1  0 Sep25 ?        00:00:00 kdeinit4: kdeinit4 Running...
jeisoncg  1572  1571  0 Sep25 ?        00:00:00 kdeinit4: klauncher [kdeinit] --fd=9
jeisoncg  1574     1  0 Sep25 ?        00:00:14 kdeinit4: kded4 [kdeinit]
jeisoncg  1577     1  0 Sep25 ?        00:00:01 kdeinit4: kglobalaccel [kdeinit]
jeisoncg  1588     1  0 Sep25 ?        00:00:03 /usr/bin/kactivitymanagerd
root      1589     1  0 Sep25 ?        00:00:00 /usr/lib/upower/upowerd
jeisoncg  1612  1444  0 Sep25 ?        00:00:00 kwrapper4 ksmserver
jeisoncg  1613  1571  0 Sep25 ?        00:00:03 kdeinit4: ksmserver [kdeinit]
root      1620     1  0 Sep25 ?        00:00:11 /usr/lib/udisks2/udisksd --no-debug
jeisoncg  1630  1613  2 Sep25 ?        00:24:43 kwin -session 10155fea1ef000144292980800000016150000_1443144805_536384
jeisoncg  1640     1  0 Sep25 ?        00:00:56 /usr/bin/baloo_file
jeisoncg  1641     1  1 Sep25 ?        00:11:10 kdeinit4: plasma-desktop [kdeinit]
jeisoncg  1647     1  0 Sep25 ?        00:00:06 /usr/bin/knotify4
jeisoncg  1656     1  0 Sep25 ?        00:00:27 /usr/bin/kuiserver
root      1658     1  0 Sep25 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
jeisoncg  1669  1641  0 Sep25 ?        00:00:29 ksysguardd
jeisoncg  1684     1  0 Sep25 ?        00:00:12 kdeinit4: krunner [kdeinit]
jeisoncg  1686     1  0 Sep25 ?        00:00:33 kdeinit4: kmix [kdeinit] -session 10155fea1ef00014429170050000
jeisoncg  1690     1  2 Sep25 ?        00:31:36 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1691     1  0 Sep25 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
jeisoncg  1705     1  0 Sep25 ?        00:00:01 /usr/lib64/kde4/libexec/polkit-kde-authentication-agent-1
jeisoncg  1706     1  0 Sep25 ?        00:00:08 kdeinit4: klipper [kdeinit]
jeisoncg  1720  1571 25 Sep25 ?        04:41:19 /usr/lib64/firefox/firefox
jeisoncg  1743     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfsd
jeisoncg  1747     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
jeisoncg  1791  1720  0 Sep25 ?        00:00:22 /usr/lib/mozilla/kmozillahelper
jeisoncg  1795     1  0 Sep25 ?        00:00:00 /usr/lib/at-spi2/at-spi-bus-launcher
root      4616     2  0 Sep25 ?        00:00:00 [scsi_eh_7]
root      4617     2  0 Sep25 ?        00:00:00 [scsi_tmf_7]
root      4618     2  0 Sep25 ?        00:00:01 [usb-storage]
root      4667     2  0 Sep25 ?        00:00:00 [kworker/u17:1]
jeisoncg  4722  1571  0 Sep25 ?        00:00:00 kdeinit4: kio_http_cache_cleaner [kdeinit]
root      6502     1  0 Sep25 ?        00:00:00 /bin/bash /usr/lib/mysql/mysql-systemd-helper start default
mysql     6517  6502  0 Sep25 ?        00:02:55 /usr/sbin/mysqld --user=mysql --group=mysql --innodb_file_format=Barracuda --innodb_file_per_table=ON --server-id=1 --sql_mode=NO_ENGINE_SUBSTITUTION,STRICT_TRANS_TABLES
jeisoncg  6556  1720  4 Sep25 ?        00:14:15 /usr/lib64/firefox/plugin-container /usr/lib64/browser-plugins/libflashplayer.so -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appdir /usr/lib64/firefox/browser 1720 true plugin
jeisoncg  6645  1571  0 Sep25 ?        00:00:34 kdeinit4: dolphin [kdeinit] --icon system-file-manager -captio
root     10075     1  0 00:28 ?        00:00:00 /bin/dbus-launch --autolaunch 4ed603cd18304c8d9216b69334cdeb3a --binary-syntax --close-stderr
